ULTRACONSERVADOR,Mín,Neutro,Máx ,,,,,,,,,,,,
RF Pós ,100%,100%,100%,,,,,,,,,,,,
Fundos de Invest.,100%,100%,100%,,,,,,,,,,,,
Imediato,20%,30%,40%,,,,,,,,,,,,
1 a 30 dias,20%,30%,40%,,,,,,,,,,,,
31 a 180 dias,15%,20%,30%,,,,,,,,,,,,
181 a 360 dias,5%,10%,20%,,,,,,,,,,,,
361+ dias,5%,10%,20%,,,,,,,,,,,,
FiInfra e Cetipados,0%,0%,0%,,,,,,,,,,,,
RF Pré,0%,0%,0%,,,,,,,,,,,,
RF Inflação,0.0%,0.0%,0.0%,,,,,,,,,,,,
Multimercados,0%,0%,0%,,,,,,,,,,,,
RV Brasil,0%,0%,0%,,,,,,,,,,,,
Internacional ,0%,0%,0%,,,,,,,,,,,,
Alternativos,0%,0%,0%,,,,,,,,,,,,
,,,,,40% de Renda ,,,,,60% a 80% de Renda,,,,,
"CONSERVADOR,Mín,Neutro,Máx ,,CONSERVADOR RENDA CONSTRUÇÃO,Mín,Neutro,Máx ,,CONSERVADOR RENDA USUFRUTO,Mín,Neutro,Máx ,""*Caso o cliente deseje alocação internacional, reduzir RF Pré ou RF Inflação, respeitando os limites inferiores de geração de renda (40% para Construção e 60% para Usufruto)."","
RF Pós ,70%,80%,90%,,RF Pós ,70%,80%,90%,,RF Pós ,70%,80%,90%,,
Fundos de Invest.,70%,80%,80%,,Fundos de Invest.,40%,45%,50%,,Fundos de Invest.,30%,40%,50%,,
Imediato,15%,20%,30%,,Imediato,15%,20%,30%,,Imediato,15%,20%,30%,,
1 a 30 dias,15%,20%,30%,,1 a 30 dias,15%,15%,30%,,1 a 30 dias,5%,10%,15%,,
31 a 180 dias,10%,20%,25%,,31 a 180 dias,5%,10%,15%,,31 a 180 dias,0%,5%,10%,,
181 a 360 dias,10%,20%,25%,,181 a 360 dias,0%,5%,10%,,181 a 360 dias,0%,5%,10%,,
